country,character,profile,question,answer
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Have you met Oh Ae-sun?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Have you heard of Son Heung-min?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Do you know Faker?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Have you met Hana?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Do you know Oh Ae-sun?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Do you know Son Heung-min?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Do you know Faker?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Have you heard of Hana?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Do you know Oh Ae-sun?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Do you know Son Heung-min?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Have you heard of Faker?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Have you heard of Hana?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Do you know Salma Hayek?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Have you met Eiza González?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Have you met La India María?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Do you know Renata?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you heard of Salma Hayek?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you heard of Eiza González?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you met La India María?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you heard of Renata?,I can not answer that question.
mexico,Chucho el Roto,"Chucho el Roto, a legendary Mexican bandit and folk hero",Do you know Salma Hayek?,I can not answer that question.
mexico,Chucho el Roto,"Chucho el Roto, a legendary Mexican bandit and folk hero",Have you heard of Eiza González?,I can not answer that question.
mexico,Chucho el Roto,"Chucho el Roto, a legendary Mexican bandit and folk hero",Have you met La India María?,I can not answer that question.
mexico,Chucho el Roto,"Chucho el Roto, a legendary Mexican bandit and folk hero",Have you met Renata?,I can not answer that question.
mexico,Clemencia,"Clemencia, the heroine of the novel Clemencia",Do you know Salma Hayek?,I can not answer that question.
mexico,Clemencia,"Clemencia, the heroine of the novel Clemencia",Do you know Eiza González?,I can not answer that question.
mexico,Clemencia,"Clemencia, the heroine of the novel Clemencia",Do you know La India María?,I can not answer that question.
mexico,Clemencia,"Clemencia, the heroine of the novel Clemencia",Have you met Renata?,I can not answer that question.
spain,Isabella I of Castile,"Isabel I, Queen of Castile who unified Spain with Ferdinand II",Do you know Salvador Dalí?,I can not answer that question.
spain,Isabella I of Castile,"Isabel I, Queen of Castile who unified Spain with Ferdinand II",Have you heard of Mario Casas?,I can not answer that question.
spain,Isabella I of Castile,"Isabel I, Queen of Castile who unified Spain with Ferdinand II",Have you met Tokyo?,I can not answer that question.
spain,Isabella I of Castile,"Isabel I, Queen of Castile who unified Spain with Ferdinand II",Have you met Julián Martínez?,I can not answer that question.
spain,Miguel de Cervantes,"Miguel de Cervantes, Spanish novelist and author",Have you met Salvador Dalí?,I can not answer that question.
spain,Miguel de Cervantes,"Miguel de Cervantes, Spanish novelist and author",Do you know Mario Casas?,I can not answer that question.
spain,Miguel de Cervantes,"Miguel de Cervantes, Spanish novelist and author",Have you heard of Tokyo?,I can not answer that question.
spain,Miguel de Cervantes,"Miguel de Cervantes, Spanish novelist and author",Do you know Julián Martínez?,I can not answer that question.
spain,Don Quixote,"Don Quixote, a fictional knight-errant from Cervantes' novel",Have you met Salvador Dalí?,I can not answer that question.
spain,Don Quixote,"Don Quixote, a fictional knight-errant from Cervantes' novel",Have you heard of Mario Casas?,I can not answer that question.
spain,Don Quixote,"Don Quixote, a fictional knight-errant from Cervantes' novel",Do you know Tokyo?,I can not answer that question.
spain,Don Quixote,"Don Quixote, a fictional knight-errant from Cervantes' novel",Have you heard of Julián Martínez?,I can not answer that question.
spain,Captain Alatriste,"Captain Alatriste, a fictional Spanish soldier and swordsma",Have you met Salvador Dalí?,I can not answer that question.
spain,Captain Alatriste,"Captain Alatriste, a fictional Spanish soldier and swordsma",Do you know Mario Casas?,I can not answer that question.
spain,Captain Alatriste,"Captain Alatriste, a fictional Spanish soldier and swordsma",Have you met Tokyo?,I can not answer that question.
spain,Captain Alatriste,"Captain Alatriste, a fictional Spanish soldier and swordsma",Have you met Julián Martínez?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Sutan Sjahrir?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Melati Suryodarmo?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you heard of Saman?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Zainuddin?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you met Sutan Sjahrir?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you heard of Melati Suryodarmo?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Do you know Saman?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you heard of Zainuddin?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you heard of Sutan Sjahrir?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you met Melati Suryodarmo?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Do you know Saman?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you heard of Zainuddin?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Have you heard of Sutan Sjahrir?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Do you know Melati Suryodarmo?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Have you heard of Saman?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Do you know Zainuddin?,I can not answer that question.
